Title,Publisher/Author,F,GRL,Box #,#books,Min. Level,Max. Level,Words,keywords,Series
Baby,Rigby,F,Dk Blue,1,11,1,1,24,,
Balloons,Rigby,F,Dk Blue,1,8,1,1,57,,
The Play,Rigby,F,Dk Blue,1,14,1,1,52,,
Up in the sky,Rigby,F,Dk Blue,1,11,1,1,56,,
Fruit Salad,Literacy Tree,F,Dk Blue,2,22,1,1,23,,
Ouch!,Rigby ,F,Dk Blue,2,32,1,1,40,,
What Are You?,Literacy Tree,F,Dk Blue,2,24,1,1,27,,
Who Likes Ice Cream,Rigby,F,Dk Blue,2,25,1,1,15,,
In the Garden,Rigby PM Plus,F,Dk Blue,3,11,1,1,32,,
Look at the house,Rigby PM Plus,F,Dk Blue,3,13,1,1,53,,
Going on Vacation,Rigby PM Plus,F,Dk Blue,4,17,1,1,40,,
I am running,Rigby PM Plus,F,Dk Blue,4,10,1,1,24,,
We dress up,Rigby,F,Dk Blue,4,11,1,1,56,,
Here's a House,Wright Group,F,Dk Blue,5,7,1,1,32,,
Naughty Kitten,Rigby Smart Start,F,Dk Blue,5,3,1,1,18,,
The Farm,Rigby Smart Start,F,Dk Blue,5,5,1,1,14,,
The Farm,Literacy Tree,F,Dk Blue,5,22,1,1,14,,
In the shopping cart,Rigby,F,Dk Blue,6,9,1,1,24,,
Little things,Rigby,F,Dk Blue,6,16,1,1,33,,
The Amazing Race,Rigby,F,Dk Blue,6,7,1,1,28,,
Time for dinner,Rigby Smart Start,F,Dk Blue,6,7,1,1,15,,
A Dog Day,Rigby Smart Start,F,Dk Blue,7,1,1,1,23,,
Going to School,Rigby,F,Dk Blue,7,6,1,1,21,,
In the Supermarket,Rigby,F,Dk Blue,7,8,1,1,24,,
My Planet,Rigby,F,Dk Blue,7,6,1,1,28,,
The Robot,Rigby Smart Start,F,Dk Blue,7,5,1,1,18,,
Treasure Hunt,Rigby,F,Dk Blue,7,9,1,1,14,,
Under the Bed,Rigby Smart Start,F,Dk Blue,7,7,1,1,28,,
What A Mess,Rigby,F,Dk Blue,7,6,1,1,14,,
A Zoo,Literacy Tree,F,Dk Blue,8,20,1,1,14,,
The Royal Family,Seedling Pub,F,Dk Blue,8,6,1,2,17,,
Where is Gabby?,Pioneer Valley,F,Dk Blue,8,4,1,1,21,,
Dad,Rigby PM Collection,F,Dk Blue,9,13,1,1,24,,
Deep in the Forest,Houghton Mifflin,F,Dk Blue,9,5,1,1,0,,
Me,Rigby PM Collection,F,Dk Blue,9,9,1,1,24,,
Mom,Rigby PM Collection,F,Dk Blue,9,13,1,1,24,,
Moms and Dads,Rigby,F,Dk Blue,9,12,1,1,36,,
In our classroom,Rigby PM,F,Dk Blue,10,7,1,1,33,,
Playing,Rigby,F,Dk Blue,10,9,1,1,39,,
Splash,Wright Group,F,Dk Blue,10,4,1,1,34,,
Baby Animals at Home,Wright Group,F,Dk Blue,11,4,1,2,44,,
Christmas,Rigby Smart Start,F,Dk Blue,11,8,1,1,16,,
I Like Balloons,Dominie ,F,Dk Blue,11,3,2,2,27,,
I Read,Dominie ,F,Dk Blue,11,5,2,2,38,,
James is Hiding,Windmill Books,F,Dk Blue,11,2,1,1,24,,
My Class,Seedling Pub,F,Dk Blue,11,14,1,2,14,,
Our School,Houghton Mifflin,F,Dk Blue,11,3,1,2,12,,
The Surprise Inside,Houghton Mifflin,F,Dk Blue,11,6,1,1,14,,
Winter Fun,Dominie ,F,Dk Blue,11,2,1,1,13,,
Rosie Likes Pink,Pioneer Valley,F,Dk Blue,12,6,1,1,24,,Bella and Rosie
Dinner Time for Bella and Rosie,Pioneer Valley,F,Dk Blue,12,6,1,1,31,,Bella and Rosie
Looking Out,Pioneer Valley,F,Dk Blue,12,6,1,1,27,,Bella and Rosie
Dressing-Up,Rigby PM Starters One,F,Dk Blue,12,24,1,1,32,,
Pets,Rigby,F,Dk Blue,12,8,1,1,33,,
A House,Rigby,F,Dk Blue,13,16,1,1,32,,
My Glasses,Dominie Press,F,Dk Blue,13,6,1,1,28,,
On the Line,Dominie Press,F,Dk Blue,13,6,1,1,35,,
I Can Paint,Wright Group,F,Dk Blue,14,2,1,1,35,,
The Car Ride,Sundance,F,Dk Blue,14,8,1,1,41,,
The Circus Train,Sundance,F,Dk Blue,14,8,1,1,48,,
When The Circus Comes To Town ,Sundance,F,Dk Blue,14,9,1,1,40,,
My Box,Rigby,F,Dk Blue,15,7,1,1,30,,
Snowman,Rigby,F,Dk Blue,15,1,1,1,14,,
Socks,Rigby,F,Dk Blue,15,8,1,1,21,,
The Clown,Rigby Smart Start,F,Dk Blue,15,8,1,1,13,,
Weather,Rigby,F,Dk Blue,15,9,1,1,14,,
What Did Ben Want?,Rigby,F,Dk Blue,15,8,1,1,28,,
Where Is My Pet?,Rigby,F,Dk Blue,15,8,1,1,34,,
Big things,Rigby PM,F,Dk Blue,16,11,1,1,33,,
Look at Pickles,Pioneer Valley,F,Dk Blue,16,12,2,2,29,,Pickles
Bella's Busy Day,Pioneer Valley,F,Dk Blue,17,6,2,2,36,,Bella and Rosie
Snow Fun,Pioneer Valley,F,Dk Blue,17,6,2,2,37,,Bella and Rosie
Playing Together,Pioneer Valley,F,Dk Blue,17,6,2,2,66,,Bella and Rosie
Food for Jasper,Pioneer Valley,F,Dk Blue,17,6,2,2,28,,Jasper the Cat
Where are the babies?,Rigby PM,F,Dk Blue,18,51,2,2,81,,
Cat and Mouse,Rigby PM,F,Dk Blue,19,43,2,2,75,,
Ball games,Rigby,F,Dk Blue,20,45,2,2,88,,
Climbing,Rigby PM,F,Dk Blue,21,9,2,2,48,,
One Day,Dominie Press,F,Dk Blue,22,5,2,2,48,,
