Title	Author/Publisher	Box #	Color	Word Count	Copy Count	Min Level	Max Level	Keywords	Genre 	Series
Giant Atlas of Geography	Rand McNally	3	11		2			Alphabet, Geography	2	
A World of Homes	Newbridge	3	11		1				2	
Amazing Journeys	Literacy Tree	3	11		2				2	
America the Beautiful	Childcraft	3	11		1				2	
Big Book Atlas	Scott Foresman	3	11		2			Geography	2	
The Boy Who Loved Dumplings	Macmillan	3	11		1				2	
Bread Around the World	Newbridge	3	11		2				2	
The Earth	National Geographic	3	11		1				2	
Fabric around the World	Benchmark	3	11		1				2	
Family Scrapbook	ETA	3	11		1				2	
Fiesta	Macmillan	3	11		5				2	
Geo Big Book - Grades K-1	Macmillan	3	11		3			Geography	2	
Geo Big Book - Grades 2-3	Macmillan	3	11		2			Geography	2	
Haitian Days	Sundance	3	11		1				2	
Happy Birthday, Martin Luther King	Marzollo, Jean	3	11		1				2	
Hats Off for the Fourth of July	Childcraft	3	11		1				2	
Hiking in the U.S.A.	Literacy Tree	3	11		3				2	
In Times Long Ago	Creative Teaching Press	3	11		4				2	
It Takes a Village	Macmillan	3	11		4				2	
Journey to the Sea - The Snake River	Literacy Tree	3	11		1				2	
L is for Liberty	Childcraft	3	11		1				2	
Lion Dancer	Scholastic	3	11		1			Chinese New Year	2	
Loving	Morris, Ann	3	11		3				2	
Maps	Creative Teaching Press	3	11		7			Geography	2	
Maps Show Us the Way	Rosen	3	11		3			Geography	2	
My Global Address	Creative Teaching Press	3	11		3			Geography	2	
My World - Where We Live - Unit 1	Macmillan	3	11		4				2	Adventures in Time and Place
My World - We Belong - Unit 2	Macmillan	3	11		4				2	Adventures in Time and Place
My World - People At Work - Unit 3	Macmillan	3	11		2				2	Adventures in Time and Place
My World - Our World - Unit 4	Macmillan	3	11		6				2	Adventures in Time and Place
My World - It Happened in America - Unit 5	Macmillan	3	11		4				2	Adventures in Time and Place
My World - Americans Celebrate - Unit 6	Macmillan	3	11		4				2	Adventures in Time and Place
My Name is Johari	Macmillan	3	11		3				2	
The Native Americans Told Us So	Ranger Rick	3	11		5				2	
Our Family Stories	Benchmark	3	11		1				2	
People Say Hello	Creative Teaching Press	3	11		1				2	
People Together - People All Around - Unit 1	Macmillan	3	11		3				2	Adventures in Time and Place
People Together - Earth, Our Home - Unit 2	Macmillan	3	11		3				2	Adventures in Time and Place
People Together - Discovering Our Past - Unit 5	Macmillan	3	11		3				2	Adventures in Time and Place
Pilgrims of Plymouth	National Geographic	3	11		3				2	
The Pilgrims	Big Book Magazine	3	11		1				2	
Pilgrim Children Had Many Chores	Creative Teaching Press	3	11		4				2	
The Pyramids of Egypt	Rosen	3	11		2				2	
Things That Go!	Newbridge	3	11		2				2	
Up and Away!  Taking a Flight	Mondo	3	11		2				2	
Where the Forest Meets the Sea	Scholastic	3	11		1				2	
Who Came Down That Road?	Macmillan	3	11		1				2	
The World Around Us	Benchmark	3	11		1				2	
The World Giant Discovery Atlas	Educational Insights	3	11		1			Geography	2	
The World in a Supermarket	Creative Teaching Press	3	11		12				2	
All Creatures Great and Small	Templar	4	11		1				2	
Amazing Plants	Benchmark	4	11		1				2	
Amazing Water	Newbridge	4	11		2			Water Cycle	2	
Animal Clues	Rigby	4	11		1				2	
Animal Shelters	Mondo	4	11		3				2	
Animals	Open Court	4	11		2				2	
Animals in Their Habitats	Benchmark	4	11		1				2	
Antarctica	Scholastic	4	11		2				2	
At the Waterworks	Cole, Joanna	4	11		1			Water Cycle	2	Magic School Bus
Beavers	Mondo	4	11		2				2	
Being a Scientist	Newbridge	4	11		1				2	
Birds	Troll	4	11		1				2	
Birds' Nests	Troll	4	11		1				2	
Body Facts	Rigby	4	11		3				2	
Bugs	Scholastic	4	11		1				2	
Caterpillar Diary	Rigby	4	11		1				2	
Caterpillars	Mondo	4	11		2			Life Cycle	2	
Chickens Aren't The Only Ones	Scholastic	4	11		2				2	
Dolphins and Porpoises	Troll	4	11		1				2	
Five Beans	Sun Sprouts	4	11		1				2	
The Four Seasons	Newbridge	4	11		2				2	
Growing Pumpkins	Newbridge	4	11		2				2	
Habitats Around the World	Benchmark	4	11		1				2	
Healthy Teeth	Heinemann	4	11		1				2	
Hidden Animals	Rigby	4	11		1				2	
How Do Animals Sleep?	Ranger Rick	4	11		1				2	
How Magnets Work	Benchmark	4	11		2				2	
How Things Move	National Geographic	4	11		2				2	
How to Grow a Sunflower	Rigby	4	11		1				2	
