Title	Publisher/Author	Box #	GRL	Words	#books	Min Level	Max Level	keywords	T	Series	Matching Big Book
The Little Red Hen	Pioneer Valley	1	1	96	18	3	4		3		FALSE
In Went Goldilocks	Literacy Tree	1	1	30	22	3	4		3		FALSE
The Little Hen	Ready Readers	1	2	107	6	6	6		3		FALSE
The Little Red Hen	Scholastic	2	2	259	5	8	8		3		FALSE
Three Little Pigs and One Big Pig	Ready Readers	2	2	123	7	8	8		3		FALSE
The Three Little Pigs	FCPS	2	2	159	12	8	8		3		FALSE
The Lion and the Mouse	Steck-Vaughn	3	2	115	3	10	10		3		FALSE
Goldilocks and the Three Bears	Sundance	3	2	275	4	10	10		3		FALSE
The Three Little Pigs	Sundance	3	2	274	4	10	10		3		FALSE
The Three Little Pigs	Scholastic	3	2	243	1	10	10		3		FALSE
The lion and the rabbit	Rigby PM	3	2	99	13	10	10		3		FALSE
Oh, John the Rabbit!	Houghton Mifflin	3	2	59	6	10	10	African American	3		FALSE
When Goldilocks Went to the House of the Bears	Mondo	3	2	156	2	10	10		3		FALSE
Martina the Cockroach	Scholastic	3	2	264	4	10	10		3		FALSE
The Donkey in the Lion's Skin	Wright Group	1	6	56	4	12	12	Fable	3		FALSE
The Goose That Laid the Golden Eggs	Wright Group	1	6	73	4	12	12	Fable	3		FALSE
Goldilocks and the Three Bears	Literacy Tree	1	6		7	12	12		3		TRUE
The Giant Gingerbread Man	Sundance	1	6	248	3	12	12		3		FALSE
The lion and the mouse	Rigby PM	1	6	125	16	12	12		3		FALSE
Wind and Sun	Literacy Tree	2	6	170	26	12	12		3		FALSE
The Deer and the Crocodile	Literacy Tree	2	6	178	26	12	12		3		FALSE
The Wind and the Sun: An Aesop Fable	Rigby Literacy	3	6	234	4	12	12	Fable	3		FALSE
The donkey in the lion's skin 	Rigby PM Plus	3	6	213	8	12	12	Fable	3		FALSE
The Fox and the Grapes	Rigby	3	6	60	6	12	12		3		TRUE
Clever Rabbit and the Lion	Usborne	3	6		6	12	12		3		FALSE
Why Elephants Have Long Noses	Literacy Tree	4	6	175	26	12	12		3		FALSE
The Gingerbread Man	Scholastic	4	6	276	4	12	12		3		FALSE
The Tortoise and the Hare	Scholastic	4	6	252	4	12	12		3		FALSE
Stone Soup	Scholastic	4	6	261	5	12	12		3		FALSE
The Three Billy Goats Gruff	Scholastic	4	6	239	4	12	12		3		FALSE
The Ugly Duckling	Scholastic	4	6	287	5	12	12		3		FALSE
Goldilocks and the Three Bears	Scholastic	4	6	311	5	12	12		3		FALSE
The Spider and the Beehive	Scholastic	4	6	297	3	12	12		3		FALSE
The Fish that Talked	Usborne	5	6		6	14	14		3		FALSE
The Hare and the Tortoise	Usborne	5	6		3	14	14		3		FALSE
The Elves and the Shoemaker	Scholastic	6	6	382	5	14	14		3		FALSE
The Princess and the Pea	Scholastic	6	6	279	4	14	14		3		FALSE
The City Mouse and the Country Mouse	Scholastic	6	6	366	4	14	14		3		FALSE
Mr. Wolf Tries Again	Sundance	6	6	218	5	14	14		3		FALSE
The Elves and the Shoemaker	Sundance	6	6	349	6	14	14		3		FALSE
The Fox and the Crow	Sundance	6	6	201	8	14	14		3		FALSE
The Little Red Hen	Waterford	7	6		7	14	14		3		FALSE
The Boy and the Lion	Wright Group	7	6	166	2	14	14	Fable	3		FALSE
Small Rabbit Goes Visiting	Wright Group	7	6	445	4	14	14		3		FALSE
The Enormous Watermelon	Rigby	7	6	304	4	14	14		3		TRUE
The Milkmaid and Her Pail	Pioneer Valley	8	6	199	4	14	14		3		FALSE
The Clever Crow	Rigby PM Plus	8	6	223	10	14	14		3		FALSE
The Gingerbread Man	Sunshine	8	6	197	7	14	14	A Play	3		FALSE
Carrot Soup	Literacy Tree	9	6	196	32	14	14		3		FALSE
Rainbow Parrot	Literacy Tree	1	8		24	16	16		3		FALSE
The Real Princess	Rigby	1	8		6	16	16		3		FALSE
The Little Red Hen	Literacy Tree	1	8		10	16	16		3		TRUE
The Two Little Mice	Literacy Tree	2	8		26	16	16		3		FALSE
The Little Red Hen	McQueen, Lucinda	2	8		4	16	16		3		TRUE
The Nightingale	Scholastic	2	8		5	16	16		3		FALSE
Cinderella	Scholastic	2	8		4	16	16		3		FALSE
The Elves and the Shoemaker	Gage	3	8		4	16	16		3		FALSE
The Old Man's Mitten	Mondo	3	8		12	16	16		3		FALSE
Mr. Sun and Mr. Sea	Pearson	3	8		6	16	16	African Legend	3		FALSE
The Little Red Hen	Sunshine	3	8		7	16	16	A Play	3		FALSE
Town Mouse and Country Mouse	Wright Group	3	8		2	16	16		3		FALSE
The Ant and the Dove	Rigby PM Plus	4	8		14	16	16	Fable	3		FALSE
The Goats in the Turnip Field	Rigby PM Plus	4	8		9	16	16		3		FALSE
The Mice Have a Meeting An Aesop's Fable	Rigby PM Plus	4	8		8	16	16	Fable	3		FALSE
Why Opossum is Gray: A Story from Mexico	Troll	5	8		16	16	16		3		FALSE
Why Spider Spins Tales: A Story from Africa	Troll	5	8		15	16	16		3		FALSE
The Three Wishes	Waterford	6	8		12	16	16		3		FALSE
Henny Penny	Waterford	6	8		12	16	16		3		FALSE
The Princess and the Pea	Dominie Press	7	8		3	16	16		3		FALSE
The Three Little Pigs	Dominie Press	7	8		1	16	16		3		FALSE
The Little Red Hen	Dominie Press	7	8		3	16	16		3		FALSE
Three Billy Goats Gruff	Dominie Press	7	8		3	16	16		3		FALSE
How the Mouse Got Brown Teeth: A Cree Story	Mondo	7	8		9	16	16		3		TRUE
How Turtle Raced Beaver	Literacy Tree	9	8		26	18	18		3		FALSE
Monkey and Fire	Literacy Tree	9	8		26	18	18		3		FALSE
Gallo and Zorro	Literacy Tree	10	8		26	18	18		3		FALSE
The Ugly Duckling	Sundance	10	8		5	18	18		3		FALSE
The Fisherman and His Wife	Literacy 2000	10	8		6	18	18		3		FALSE
The Mouse Deer and the Crocodiles	Rigby PM Plus	11	8		10	18	18		3		FALSE
The Mouse Deer Escapes	Rigby PM Plus	11	8		8	18	18		3		FALSE
The Peddler's Caps	Rigby PM	11	8		10	18	18		3		FALSE
Stone Soup	McGovern, Ann	11	8		4	18	18		3		FALSE
Ming Lo Moves the Mountain	Lobel, Arnold	11	8		4	18	18		3		FALSE
The Gingerbread Man	Waterford	12	8		13	18	18		3		FALSE
The Big Mitten 	Waterford	12	8		12	18	18		3		FALSE
The Snow Lion: A Chinese Tale	Waterford	12	8		4	18	18		3		FALSE
The Mighty Sparrow: A Trickster Tale of the African Congo	Waterford	12	8		7	18	18		3		FALSE
Rumpelstiltskin	Dominie Press	13	8		3	18	18		3		FALSE
The Gingerbread Man	Dominie Press	13	8		3	18	18		3		FALSE
Aladdin and the Magic Lamp	Dominie Press	13	8		1	18	18		3		FALSE
The Frog Prince	Dominie Press	13	8		4	18	18		3		FALSE
Cinderella	Dominie Press	13	8		4	18	18		3		FALSE
The Magic Porridge Pot	Waterford	13	8		12	18	18		3		FALSE
Bringing the Rain to Kapiti Plain	Aardema, Verna	13	8		6	18	18		3		FALSE
The Lad who went to the North Wind	Mondo	14	8		12	18	18		3		FALSE
One Fine Day	Hogrogian, Nonny	14	8		19	18	18	Armenian Folktale, Caldecott	3		FALSE
The Shoemaker and the Elves	Sunshine	15	8		7	18	18	A Play	3		FALSE
How Lizard Lost His Colors	Literacy Tree	15	8		25	18	18		3		FALSE
The Fox and the Crow	Rigby PM Plus	15	8		7	18	18		3		FALSE
Rumpelstiltskin	Mondo	16	8		16	18	18		3		FALSE
La Tortuga: A Mexican Folktale	Waterford	16	8		12	18	18		3		FALSE
The Three Little Pigs	Waterford	17	8		12	18	18		3		FALSE
Paul Bunyan	Rigby	17	8		3	18	18		3		TRUE
Peter and the Wolf	Rigby PM Plus	17	8		5	18	18		3		FALSE
The Ant and the Grasshopper: An Aesop's Fable	Rigby PM Plus	17	8		6	18	18	Fable	3		FALSE
The Wolf and the Seven Little Kids	Literacy Tree	18	8		33	18	18	A Play	3		FALSE
Animal Legends	Usborne	18	8		6	18	18		3		FALSE
The Ugly Duckling	Waterford	19	8		12	18	18		3		FALSE
Lizard and the Painted Rock	Waterford	19	8		12	18	18		3		FALSE
Why Wind and Water Fight: An African-American Tale	Waterford	19	8		16	18	18		3		FALSE
Baba Yaga	Literacy Tree	20	8		8	20	20	Russian Tale	3		FALSE
Half for You Half for Me	Literacy Tree	20	8		26	20	20		3		FALSE
The Frog Princess	Literacy Tree	20	8		26	20	20		3		FALSE
Three Billy Goats Gruff	Waterford	20	8		3	20	20	A Play	3		FALSE
How Fire Came to Earth	Literacy Tree	21	8		26	20	20		3		FALSE
A Boy and His Donkey	Literacy Tree	21	8		8	20	20		3		FALSE
King Midas and the Golden Touch	Dominie Press	21	8		3	20	20		3		FALSE
Anansi and the Seven Yam Hills	Waterford	22	8		12	20	20		3		FALSE
The City mouse and the Country mouse	Waterford	22	8		12	20	20		3		FALSE
Millions of Cats	Ga'g, Wanda	22	8		6	20	20		3		FALSE
How Rivers Began: A Mayan Folktale	Waterford	23	8		26	20	20		3		FALSE
The Story of Tong and Mai Nhia	Waterford	23	8		19	20	20		3		FALSE
The Kindest Family	Rigby PM Plus	24	8		12	20	20		3		FALSE
A Fair Swap	Rigby PM	24	8		9	20	20		3		FALSE
Rumpelstiltskin	Rigby PM	24	8		6	20	20	A Play	3		FALSE
The Gigantic Bell	Rigby PM Plus	24	8		6	20	20		3		FALSE
King Midas and the Golden Touch	Rigby PM	24	8		10	20	20		3		FALSE
Ashes for Gold: A Tale from Mexico	Mondo	25	8		11	20	20		3		FALSE
He Who Listens	Literacy Tree	25	8		6	20	20		3		FALSE
The Cabbage Princess	Literacy Tree	25	8		4	20	20		3		FALSE
Turtle Flies South	Literacy Tree	25	8		3	20	20		3		FALSE
The Three Magicians	Literacy Tree	25	8		7	20	20		3		FALSE
The Hare and the Tortoise	Literacy 2000	25	8		4	20	20		3		FALSE
The Story of Hungbu and Nolbu: A Korean Folktale	Mondo	26	8		16	20	20		3		FALSE
The Elves and the Shoemaker	Troll	26	8		4	20	20		3		FALSE
The Blind Men and the Elephant	Backstein, Karen	26	8		4	20	20		3		FALSE
Johnny Appleseed Goes a'Planting	Troll	26	8		5	20	20		3		FALSE
Goldilocks and the Three Bears	Waterford	27	8		12	20	20		3		FALSE
Little Half Chick	Literacy Tree	27	8		12	20	20	A Play	3		FALSE
Aesop's Fables	Usborne	27	8		6	20	20		3		FALSE
The Three Wishes: A Spanish Folktale	Mondo	1	9		20	24	24		3		FALSE
Chicken Little	Kellogg, Steven	1	9		4	24	24		3		FALSE
Why Rabbits Have Long Ears	Literacy Tree	1	9		5	24	24		3		FALSE
The Greedy Goat	Mondo	2	9		20	24	24		3		FALSE
The Honey Tree	Literacy Tree	2	9		11	24	24		3		FALSE
Pheasant and Kingfisher	Mondo	3	9		12	24	24		3		TRUE
Why the Sea is Salty	Literacy Tree	3	9		11	24	24		3		FALSE
The Selfish Giant	Literacy Tree	3	9		3	24	24		3		FALSE
Mr. Lucky Straw	Waterford	4	9		18	24	24		3		FALSE
The Brothers	Waterford	4	9		12	24	24		3		FALSE
The Boy Who Went to the North Wind	Literacy Tree	4	9		4	24	24		3		FALSE
The Tale of Peter Rabbit	Potter, Beatrix	4	9		3	24	24		3		FALSE
Fire and Wind	Rigby PM	5	9		9	24	24		3		FALSE
In Search of Treasure	Rigby PM Plus	5	9		6	24	24		3		FALSE
The Man Who Rode the Tiger	Rigby PM Plus	5	9		6	24	24		3		FALSE
The Horse and the Bell	Rigby PM Plus	5	9		5	24	24		3		FALSE
The Magic Fish	Littledale, Freya	6	9		16	24	24		3		FALSE
The Spider and the King	Literacy Tree	6	9		4	24	24		3		FALSE
Rapunzel	Literacy Tree	7	9		7	24	24		3		FALSE
The Boy Who Cried Wolf	Literacy Tree	7	9		7	24	24		3		FALSE
The Emperor and the Nightingale	Literacy Tree	7	9		7	24	24		3		FALSE
The Three Sillies	Literacy Tree	7	9		13	24	24		3		FALSE
The Royal Drum: An Ashanti Tale	Mondo	8	9		18	24	24		3		TRUE
Jack and the Beanstalk	Faulkner, Matt	8	9		3	24	24		3		FALSE
Goldilocks and the Three Bears	Ladybird	9	9		4	24	24		3		FALSE
The Three Little Pigs	Ladybird	9	9		4	24	24		3		FALSE
The Elves and the Shoemaker	Ladybird	9	9		4	24	24		3		FALSE
The Gingerbread Man	Ladybird	9	9		3	24	24		3		FALSE
Pinocchio	Ladybird	10	9		3	24	24		3		FALSE
Snow White and the Seven Dwarfs	Ladybird	10	9		3	24	24		3		FALSE
The Ugly Duckling	Ladybird	10	9		4	24	24		3		FALSE
The Three Billy Goats Gruff	Ladybird	10	9		4	24	24		3		FALSE
The Crowded House	Waterford	12	9		9	28	28		3		FALSE
Why Frog and Snake Can't Be Friends	Literacy Tree	12	9		16	28	28		3		FALSE
The Frog Prince	Troll	12	9		4	28	28		3		FALSE
The Old Woman who lived in a Vinegar Bottle	Mondo	13	9		12	28	28		3		FALSE
the Shoemaker and the Elves	Waterford	13	9		12	28	28		3		FALSE
Strega Nona	de Paola, Tomie	14	9		9	28	28		3		FALSE
Er-lang and the Suns: A Tale from China	Mondo	14	9		2	28	28		3		FALSE
The Mud Pony	Scholastic	15	9		3	28	28		3		FALSE
The Story of William Tell	Rigby PM	15	9		11	28	28		3		FALSE
The Golden Goose	Literacy Tree	15	9		4	28	28		3		FALSE
The Tale of Veruschka Babuschka	Literacy 2000	15	9		3	28	28		3		FALSE
The Drought Maker	Literacy Tree	16	9		2	28	28		3		FALSE
That's a Laugh! Four Funny Fables	Literacy Tree	16	9		4	28	28	Fable	3		FALSE
Double Trouble: A Folktale	Literacy Tree	16	9		5	28	28		3		FALSE
Johnny Appleseed	Moore, Eva	16	9		1	28	28		3		FALSE
The Tiger, the Brahman, and the Jackal	ETA	17	9		11	28	28	A Play	3		FALSE
Beauty and the Beast	Troll	1	3		5	30	30		3		FALSE
King of the Golden Mountain	Troll	1	3		5	30	30		3		FALSE
Coyote Steals the Blanket: A Ute Tale	Stevens, Janet	1	3		17	30	30		3		FALSE
Tikki Tikki Tembo	Mosel, Arlene	2	3		11	30	34		3		FALSE
Rumpelstiltskin	Zelinsky, Paul	2	3		10	30	34		3		FALSE
Little Red Riding Hood	Hyman, Trina Schart	3	3		11	30	34		3		FALSE
Anansi and the Talking Melon	Kimmel, Eric A.	3	3		10	30	34		3		FALSE
Fables	Lobel, Arnold	4	3		6	30	34	Caldecott, Fable	3		FALSE
Six Crows	Lionni, Leo	4	3		2	30	34		3		FALSE
Why Mosquitoes Buzz in People's Ears	Aardema, Verna	4	3		5	30	34		3		FALSE
Mufaro's Beautiful Daughters: An African Tale	Steptoe, John	5	3		26	30	34	Caldecott	3		FALSE
The Girl Who Loved Wild Horses	Goble, Paul	6	3		3	30	34	Caldecott	3		FALSE
Greyling / The Girl Who Loved Wild Horses 	Goble, Paul; Yolen, Jane	6	3		16	30	34	Caldecott	3		FALSE
Off to Squintum's; The Four Musicians	Mondo	7	3		12	30	34	A Play	3		FALSE
Puss in Boots	Scholastic	8	3		2	34	34		3		FALSE
The Ugly Duckling	Moore, Lilian	8	3		19	34	34		3		FALSE
Rumpelstiltskin	Tarcov, Edith H.	8	3		3	34	34		3		FALSE
Baleen	ETA	9	3		12	36	36		3		FALSE
The Seven Stones of Sligo: An Irish Legend	Rigby PM Chapter	9	3		17	36	36		3		FALSE
A Tall Tale to Tell	Houghton Mifflin	10	3		36	36	36		3		FALSE
The Three Wishes	Literacy 2000	10	3		4	36	36		3		FALSE
The Legend of the Bluebonnet	dePaola, Tomie	11	3		3	36	36		3		FALSE
Children of the Wind and Water	Krenksy, Stephen	11	3		2	36	36	Anthology	3		FALSE
Tall Tales	Houghton Mifflin	12	3		12	36	36	Anthology	3		FALSE
The Wish Fish	Literacy Tree	13	3		18	38	38	Anthology	3		FALSE
The Sun Above and the River Below	Rigby Literacy By Design	13	3		6	38	38		3		FALSE
The Seven Chinese Brothers	Mahy, Margaret	14	3		9	38	38		3		FALSE
Mario's Mayan Journey	Mondo	15	3		12	38	38		3		FALSE
Johnny Appleseed	Kellogg, Steven	1	4		2	40	40		3		FALSE
Pecos Bill	Kellogg, Steven	1	4		2	40	40		3		FALSE
Tales of Rudyard Kipling	Perfection	2	4		8	40	40	Anthology, A Play	3		FALSE
Tales of American Indians	Perfection	3	4		12	40	40	Anthology, A Play	3		FALSE
The Rough-Face Girl	Martin, Rafe	3	4		5	40	40		3		FALSE
Tales of China	Perfection	4	4		11	40	40	Anthology, A Play	3		FALSE
Tales of Ancient Civilizations	Perfection	4	4		9	40	40	Anthology, A Play	3		FALSE
Tales of Greek Mythology	Perfection	5	4		11	40	40	Anthology	3		FALSE
Tales of Fate	Perfection	5	4		7	40	40	Anthology, A Play	3		FALSE
The Silver River	Steck-Vaughn	6	4		9	40	40		3	World Myths - South Asia	FALSE
The Creation of the Universe	Steck-Vaughn	6	4		10	40	40		3	World Myths - South Asia	FALSE
Tangoon, First Emperor of Korea	Steck-Vaughn	6	4		9	40	40		3	World Myths - South Asia	FALSE
Savitri and the Ruler of the Dead	Steck-Vaughn	7	4		9	40	40		3	World Myths - South Asia	FALSE
Ama-terasu, the Sun Goddess	Steck-Vaughn	7	4		8	40	40		3	World Myths - South Asia	FALSE
Little Bear and Other Native American Animal Tales	Book Treks	7	4		6	40	40	Anthology	3		FALSE
Catching the Sun  Tales from Asia	Book Treks	1	7		6	50	50		3		FALSE
Aesop's Fables	McGovern, Ann	1	7		3	50	50	Fable	3		FALSE
Hare Rescues the Sun and Other Sky Myths	Book Treks	1	5		6	60	60	Anthology	3		FALSE
Tales from Silver Lands	Finger, Charles	1	5		6	60	60	Anthology, Newberry	3		FALSE
