Title	Publisher/Author	F	GRL	Box	#books	minlevel	maxlevel	#ords	keyword
20 Pennies	Dominie Collection	F	Green	39	4	7	8	212	
A Baby Sister for Frances	Scholastic	F	Yellow	69	1	24	24		
A Bargain for Frances	Harper	F	Yellow	68	7	21	22		
A Batch for Patches	Dominie Collection	F	Green	40	1	8	8	86	
A Bath for Beagle	Troll Associates	F	Green	18	1	5	6	102	
A Bear Lived In A Cave	Sundance	F	Dark Blue	90	2	4	5	102	
A Bedtime Story	Mondo	F	Orange	9	10	12	12		
A Bike for Alex	Rigby	F	Orange	47	3	15	15		
A Bike for Brad	Rigby PM	F	Red	51	1	20	20	510	
A Birthday Cake for Ben	Rigby	F	Dark Blue	53	20	3	3	71	
A Birthday for Frances	Scholastic	F	Yellow	69	1	24	24		
A Boy and His Donkey	Literacy 2000	F	Yellow	5	7	20	20	250	
A Bug, a Bear, and A Boy - Fly a Kite	Scholastic	F	Green	42	1	9	10	250	
A Bug, A Bear, and a Boy - Go to School	Scholastic	F	Green	42	2	9	10	250	
A Bug, A Bear, and a Boy - Plant A Garden	Scholastic	F	Green	42	3	9	10	250	
A Bug, A Bear, and a Boy - Play Hide and Seek	Scholastic	F	Green	42	4	9	10	250	
A Bug, A Bear, and A Boy -And a Bath	Scholastic	F	Green	42	6	9	10	250	
A Bug, A Bear, and A Boy -At Home	Scholastic	F	Green	42	2	9	10	250	
A Bug, A Bear, and a Boy- Go for a ride	Scholastic	F	Green	42	3	9	10	250	
A Bull in a China Shop	Literacy 2000	F	Red	67	20	20	20		
A Buzz is Part of a Bee	Children's Press	F	Dark Blue	87	1	4	4		
A Chair for My Mother	Mulberry Books	F	Yellow	132	11	28	30	250	
A Crocodile and a whale	Rigby	F	Green	27a	2	7	7		
A Crocodile to Tea	Rigby	F	Orange	48	5	15	15		
A Crocodile to Tea	Literacy Tree	F	Orange	51	4				
A Dark Dark Tale	Puffin	F	Red	56	1	10	10		
A Dog Called Bear	Rigby	F	Red	59	2	20	20	438	
A Dragon in My Backpack	Troll	F	Lime	4	4				
